"","Date","Primary.Fur.Color","Number"
"1",2018-10-06,"Black",19
"2",2018-10-06,"Cinnamon",36
"3",2018-10-06,"Gray",278
"4",2018-10-06,"Unknown",4
"5",2018-10-07,"Black",12
"6",2018-10-07,"Cinnamon",55
"7",2018-10-07,"Gray",323
"8",2018-10-07,"Unknown",15
"9",2018-10-08,"Black",7
"10",2018-10-08,"Cinnamon",42
"11",2018-10-08,"Gray",232
"12",2018-10-08,"Unknown",4
"13",2018-10-10,"Black",4
"14",2018-10-10,"Cinnamon",57
"15",2018-10-10,"Gray",267
"16",2018-10-10,"Unknown",7
"17",2018-10-12,"Black",8
"18",2018-10-12,"Cinnamon",37
"19",2018-10-12,"Gray",172
"20",2018-10-12,"Unknown",1
"21",2018-10-13,"Black",15
"22",2018-10-13,"Cinnamon",71
"23",2018-10-13,"Gray",339
"24",2018-10-13,"Unknown",9
"25",2018-10-14,"Black",14
"26",2018-10-14,"Cinnamon",25
"27",2018-10-14,"Gray",324
"28",2018-10-14,"Unknown",5
"29",2018-10-17,"Black",13
"30",2018-10-17,"Cinnamon",24
"31",2018-10-17,"Gray",178
"32",2018-10-17,"Unknown",1
"33",2018-10-18,"Black",5
"34",2018-10-18,"Cinnamon",31
"35",2018-10-18,"Gray",163
"36",2018-10-18,"Unknown",1
"37",2018-10-19,"Black",5
"38",2018-10-19,"Cinnamon",7
"39",2018-10-19,"Gray",140
"40",2018-10-19,"Unknown",6
"41",2018-10-20,"Black",1
"42",2018-10-20,"Cinnamon",7
"43",2018-10-20,"Gray",57
"44",2018-10-20,"Unknown",2
