"","Hectare.Squirrel.Number","Above.Ground.Sighter.Measurement","Primary.Fur.Color"
"1",8,10,"Gray"
"2",3,30,"Gray"
"3",5,10,"Gray"
"4",3,6,"Gray"
"5",7,24,"Gray"
"6",1,30,"Gray"
"7",2,8,"Gray"
"8",6,6,"Gray"
"9",1,25,"Gray"
"10",2,5,"Gray"
"11",13,50,"Gray"
"12",5,4,"Gray"
"13",5,10,"Black"
"14",1,50,"Gray"
"15",3,8,"Gray"
"16",5,3,"Gray"
"17",5,4,"Gray"
"18",2,70,"Gray"
"19",4,12,"Gray"
"20",16,2,"Gray"
"21",5,10,"Black"
"22",4,10,"Gray"
"23",1,25,"Gray"
"24",3,2,"Gray"
"25",1,50,"Gray"
"26",2,3,"Gray"
"27",13,20,"Gray"
"28",1,7,"Gray"
"29",1,20,"Gray"
"30",6,6,"Gray"
"31",11,5,"Gray"
"32",1,5,"Gray"
"33",1,10,"Gray"
"34",5,25,"Gray"
"35",1,10,"Gray"
"36",2,13,"Gray"
"37",11,3,"Cinnamon"
"38",2,50,"Gray"
"39",4,15,"Gray"
"40",1,30,"Cinnamon"
"41",3,6,"Gray"
"42",4,30,"Gray"
"43",5,28,"Gray"
"44",7,10,"Cinnamon"
"45",2,12,"Gray"
"46",8,10,"Gray"
"47",1,30,"Unknown"
"48",2,10,"Cinnamon"
"49",3,5,"Gray"
"50",3,15,"Gray"
"51",1,15,"Black"
"52",7,5,"Gray"
"53",3,35,"Gray"
"54",3,3,"Unknown"
"55",3,4,"Cinnamon"
"56",3,100,"Gray"
"57",4,6,"Gray"
"58",7,3,"Gray"
"59",1,7,"Gray"
"60",7,2,"Cinnamon"
"61",4,20,"Cinnamon"
"62",3,10,"Gray"
"63",9,20,"Gray"
"64",6,15,"Gray"
"65",5,3,"Cinnamon"
"66",2,25,"Gray"
"67",9,20,"Cinnamon"
"68",1,3,"Gray"
"69",3,2,"Gray"
"70",11,10,"Gray"
"71",7,5,"Gray"
"72",1,7,"Gray"
"73",1,10,"Gray"
"74",1,10,"Gray"
"75",1,15,"Gray"
"76",3,2,"Gray"
"77",6,10,"Gray"
"78",5,20,"Gray"
"79",1,15,"Gray"
"80",4,1,"Gray"
"81",2,8,"Cinnamon"
"82",1,80,"Gray"
"83",3,15,"Gray"
"84",3,30,"Gray"
"85",4,10,"Gray"
"86",5,10,"Gray"
"87",5,2,"Gray"
"88",5,2,"Gray"
"89",6,2,"Gray"
"90",3,30,"Gray"
"91",6,12,"Gray"
"92",4,65,"Gray"
"93",2,15,"Gray"
"94",5,40,"Gray"
"95",4,13,"Gray"
"96",11,4,"Gray"
"97",2,25,"Black"
"98",2,15,"Gray"
"99",2,8,"Gray"
"100",2,15,"Gray"
"101",9,2,"Cinnamon"
"102",6,10,"Gray"
"103",1,15,"Gray"
"104",3,15,"Black"
"105",2,4,"Cinnamon"
"106",1,15,"Gray"
"107",3,5,"Black"
"108",3,30,"Black"
"109",3,3,"Gray"
"110",10,12,"Cinnamon"
"111",1,5,"Gray"
"112",3,20,"Gray"
"113",5,25,"Gray"
"114",2,25,"Gray"
"115",1,2,"Gray"
"116",2,3,"Gray"
"117",8,10,"Black"
"118",1,40,"Gray"
"119",5,10,"Gray"
"120",9,20,"Gray"
"121",3,25,"Gray"
"122",1,5,"Gray"
"123",8,6,"Gray"
"124",3,30,"Gray"
"125",3,25,"Gray"
"126",1,15,"Gray"
"127",6,30,"Gray"
"128",4,20,"Black"
"129",2,15,"Gray"
"130",2,10,"Gray"
"131",5,2,"Cinnamon"
"132",2,30,"Gray"
"133",4,10,"Cinnamon"
"134",2,15,"Gray"
"135",9,25,"Gray"
"136",2,18,"Cinnamon"
"137",3,18,"Gray"
"138",1,10,"Cinnamon"
"139",4,15,"Gray"
"140",3,17,"Black"
"141",7,1,"Gray"
"142",2,1,"Cinnamon"
"143",2,20,"Gray"
"144",3,55,"Gray"
"145",2,20,"Gray"
"146",1,60,"Gray"
"147",4,30,"Gray"
"148",3,8,"Gray"
"149",2,15,"Gray"
"150",7,3,"Cinnamon"
"151",3,15,"Gray"
"152",2,10,"Black"
"153",3,1,"Gray"
"154",2,6,"Cinnamon"
"155",1,8,"Gray"
"156",7,1,"Gray"
"157",5,3,"Gray"
"158",9,15,"Black"
"159",1,180,"Gray"
"160",2,4,"Gray"
"161",6,2,"Cinnamon"
"162",5,30,"Black"
"163",2,8,"Gray"
"164",1,3,"Gray"
"165",5,10,"Gray"
"166",5,13,"Gray"
"167",2,20,"Gray"
"168",2,15,"Gray"
"169",3,5,"Gray"
"170",9,5,"Gray"
"171",4,10,"Cinnamon"
"172",4,40,"Gray"
"173",1,20,"Gray"
"174",3,20,"Cinnamon"
"175",5,5,"Gray"
"176",3,20,"Gray"
"177",12,50,"Gray"
"178",3,7,"Gray"
"179",6,30,"Unknown"
"180",6,9,"Gray"
"181",3,40,"Gray"
"182",1,10,"Gray"
"183",6,10,"Gray"
"184",2,45,"Gray"
"185",2,5,"Gray"
"186",1,4,"Gray"
"187",1,2,"Gray"
"188",2,28,"Black"
"189",3,20,"Gray"
"190",8,1,"Gray"
"191",2,4,"Gray"
"192",1,5,"Gray"
"193",5,5,"Gray"
"194",2,30,"Gray"
"195",2,5,"Gray"
"196",1,15,"Gray"
"197",2,3,"Gray"
"198",3,9,"Gray"
"199",6,10,"Cinnamon"
"200",1,15,"Gray"
"201",1,3,"Gray"
"202",3,15,"Gray"
"203",1,2,"Cinnamon"
"204",1,40,"Cinnamon"
"205",5,25,"Gray"
"206",2,20,"Gray"
"207",8,15,"Gray"
"208",4,2,"Cinnamon"
"209",2,0,"Gray"
"210",3,5,"Gray"
"211",3,1,"Gray"
"212",9,3,"Gray"
"213",9,30,"Gray"
"214",2,35,"Gray"
"215",1,15,"Cinnamon"
"216",4,3,"Gray"
"217",3,15,"Cinnamon"
"218",7,12,"Gray"
"219",2,10,"Black"
"220",4,43,"Unknown"
"221",1,10,"Gray"
"222",3,6,"Gray"
"223",3,4,"Cinnamon"
"224",4,2,"Gray"
"225",2,10,"Gray"
"226",2,4,"Cinnamon"
"227",2,10,"Gray"
"228",8,3,"Gray"
"229",12,5,"Gray"
"230",1,3,"Gray"
"231",5,10,"Gray"
"232",8,7,"Unknown"
"233",1,20,"Gray"
"234",9,50,"Gray"
"235",4,40,"Gray"
"236",2,13,"Gray"
"237",1,10,"Gray"
"238",10,13,"Gray"
"239",1,25,"Gray"
"240",1,2,"Gray"
"241",1,20,"Gray"
"242",3,3,"Gray"
"243",12,15,"Gray"
"244",12,4,"Gray"
"245",5,10,"Gray"
"246",1,7,"Gray"
"247",3,10,"Gray"
"248",1,3,"Gray"
"249",4,15,"Gray"
"250",4,9,"Cinnamon"
"251",2,6,"Cinnamon"
"252",1,20,"Gray"
"253",2,7,"Gray"
"254",3,25,"Gray"
"255",11,50,"Gray"
"256",6,3,"Cinnamon"
"257",3,15,"Gray"
"258",5,6,"Gray"
"259",4,30,"Gray"
"260",3,10,"Gray"
"261",6,5,"Gray"
"262",8,5,"Unknown"
"263",2,30,"Gray"
"264",1,30,"Gray"
"265",1,40,"Gray"
"266",2,30,"Gray"
"267",5,4,"Gray"
"268",4,3,"Gray"
"269",1,10,"Gray"
"270",8,10,"Gray"
"271",2,25,"Gray"
"272",8,5,"Gray"
"273",10,2,"Gray"
"274",1,50,"Gray"
"275",4,20,"Gray"
"276",7,4,"Gray"
"277",10,20,"Cinnamon"
"278",2,3,"Black"
"279",4,8,"Gray"
"280",2,12,"Gray"
"281",6,7,"Gray"
"282",2,10,"Cinnamon"
"283",7,15,"Gray"
"284",1,10,"Gray"
"285",4,50,"Gray"
"286",3,10,"Gray"
"287",1,3,"Gray"
"288",2,20,"Gray"
"289",8,10,"Gray"
"290",6,5,"Gray"
"291",6,10,"Gray"
"292",1,10,"Cinnamon"
"293",1,4,"Cinnamon"
"294",1,30,"Gray"
"295",3,15,"Cinnamon"
"296",1,15,"Gray"
"297",3,20,"Gray"
"298",3,3,"Gray"
"299",1,18,"Gray"
"300",2,50,"Gray"
"301",6,1,"Gray"
"302",6,3,"Gray"
"303",2,50,"Gray"
"304",1,2,"Gray"
"305",5,2,"Cinnamon"
"306",2,10,"Gray"
"307",1,7,"Gray"
"308",2,7,"Gray"
"309",4,10,"Gray"
"310",6,10,"Gray"
"311",3,30,"Gray"
"312",2,30,"Gray"
"313",2,15,"Gray"
"314",1,10,"Gray"
"315",7,8,"Gray"
"316",2,6,"Gray"
"317",1,12,"Gray"
"318",7,13,"Cinnamon"
"319",4,50,"Gray"
"320",3,8,"Cinnamon"
"321",1,3,"Gray"
"322",2,8,"Gray"
"323",1,20,"Gray"
"324",9,5,"Gray"
"325",1,3,"Gray"
"326",3,28,"Unknown"
"327",2,5,"Gray"
"328",3,4,"Cinnamon"
"329",3,1,"Gray"
"330",7,10,"Gray"
"331",2,10,"Gray"
"332",3,10,"Gray"
"333",6,4,"Gray"
"334",4,10,"Gray"
"335",12,3,"Cinnamon"
"336",2,1,"Gray"
"337",8,20,"Gray"
"338",3,20,"Gray"
"339",4,10,"Gray"
"340",1,25,"Gray"
"341",6,2,"Gray"
"342",5,10,"Gray"
"343",3,8,"Gray"
"344",6,10,"Gray"
"345",1,4,"Gray"
"346",2,20,"Gray"
"347",7,20,"Gray"
"348",5,4,"Gray"
"349",1,20,"Cinnamon"
"350",1,25,"Gray"
"351",4,10,"Gray"
"352",2,20,"Gray"
"353",2,4,"Gray"
"354",8,10,"Gray"
"355",10,20,"Gray"
"356",1,3,"Cinnamon"
"357",2,6,"Gray"
"358",7,45,"Unknown"
"359",4,30,"Gray"
"360",5,2,"Cinnamon"
"361",3,2,"Gray"
"362",2,6,"Gray"
"363",1,10,"Gray"
"364",14,50,"Gray"
"365",5,20,"Gray"
"366",1,5,"Gray"
"367",1,5,"Gray"
"368",11,20,"Gray"
"369",4,25,"Gray"
"370",1,7,"Gray"
"371",2,16,"Gray"
"372",3,12,"Gray"
"373",2,6,"Gray"
"374",1,10,"Gray"
"375",3,20,"Gray"
"376",2,15,"Gray"
"377",1,20,"Gray"
"378",1,3,"Gray"
"379",2,2,"Gray"
"380",5,100,"Gray"
"381",4,8,"Gray"
"382",3,13,"Unknown"
"383",6,40,"Gray"
"384",5,20,"Gray"
"385",4,1,"Gray"
"386",5,100,"Unknown"
"387",5,2,"Gray"
"388",5,15,"Gray"
"389",6,2,"Gray"
"390",1,15,"Gray"
"391",1,20,"Gray"
"392",2,20,"Gray"
"393",4,20,"Gray"
"394",2,5,"Gray"
"395",4,20,"Gray"
"396",1,20,"Gray"
"397",3,30,"Black"
"398",7,25,"Gray"
"399",4,3,"Gray"
"400",3,15,"Gray"
"401",8,5,"Gray"
"402",6,2,"Gray"
"403",6,15,"Gray"
"404",8,6,"Gray"
"405",3,2,"Gray"
"406",6,20,"Unknown"
"407",1,20,"Cinnamon"
"408",2,1,"Gray"
"409",16,6,"Gray"
"410",5,2,"Gray"
"411",3,10,"Gray"
"412",3,20,"Cinnamon"
"413",4,25,"Gray"
"414",5,20,"Gray"
"415",13,10,"Gray"
"416",2,10,"Gray"
"417",1,10,"Gray"
"418",5,3,"Gray"
"419",2,15,"Gray"
"420",11,13,"Gray"
"421",8,20,"Gray"
"422",6,5,"Gray"
"423",2,15,"Unknown"
"424",4,35,"Gray"
"425",1,25,"Gray"
"426",3,6,"Gray"
"427",3,7,"Gray"
"428",2,3,"Gray"
"429",4,4,"Unknown"
"430",5,15,"Gray"
"431",2,1,"Gray"
"432",3,15,"Gray"
"433",1,40,"Gray"
"434",11,3,"Cinnamon"
"435",1,13,"Cinnamon"
"436",1,20,"Gray"
"437",2,8,"Cinnamon"
"438",1,3,"Gray"
"439",8,35,"Unknown"
"440",7,20,"Gray"
"441",2,8,"Gray"
"442",10,1,"Gray"
"443",4,10,"Gray"
"444",2,10,"Gray"
"445",4,100,"Gray"
"446",3,25,"Cinnamon"
"447",8,40,"Gray"
"448",3,6,"Gray"
"449",7,5,"Unknown"
"450",5,25,"Gray"
"451",2,40,"Gray"
"452",5,10,"Gray"
"453",12,2,"Gray"
"454",2,28,"Gray"
"455",2,10,"Gray"
"456",3,10,"Gray"
"457",2,1,"Gray"
"458",3,40,"Gray"
"459",1,1,"Gray"
"460",1,15,"Gray"
"461",4,2,"Gray"
"462",9,5,"Gray"
"463",1,7,"Gray"
"464",2,10,"Black"
"465",5,20,"Gray"
"466",3,10,"Gray"
"467",1,40,"Gray"
"468",5,33,"Gray"
"469",4,15,"Gray"
"470",14,10,"Gray"
"471",6,28,"Gray"
"472",2,6,"Gray"
"473",6,2,"Gray"
"474",5,20,"Gray"
"475",11,15,"Gray"
"476",10,3,"Gray"
"477",4,25,"Gray"
"478",3,15,"Gray"
"479",5,10,"Cinnamon"
"480",2,11,"Gray"
"481",2,20,"Gray"
"482",7,5,"Gray"
"483",8,6,"Gray"
"484",1,3,"Gray"
"485",4,2,"Gray"
"486",3,10,"Gray"
"487",3,1,"Cinnamon"
"488",1,2,"Gray"
"489",15,5,"Gray"
"490",5,30,"Black"
"491",3,4,"Gray"
"492",5,3,"Gray"
"493",1,20,"Gray"
"494",3,5,"Gray"
"495",1,40,"Gray"
"496",1,40,"Gray"
"497",6,10,"Cinnamon"
"498",3,4,"Gray"
"499",12,2,"Gray"
"500",6,4,"Gray"
"501",2,15,"Black"
"502",3,30,"Gray"
"503",5,3,"Cinnamon"
"504",7,10,"Gray"
"505",2,20,"Gray"
"506",2,15,"Gray"
"507",9,30,"Gray"
"508",2,1,"Cinnamon"
"509",2,5,"Gray"
"510",5,1,"Gray"
"511",1,5,"Gray"
"512",4,20,"Gray"
"513",3,43,"Unknown"
"514",2,24,"Gray"
"515",1,5,"Gray"
"516",1,15,"Cinnamon"
"517",5,2,"Gray"
"518",6,7,"Gray"
"519",2,13,"Gray"
"520",2,30,"Gray"
"521",2,5,"Gray"
"522",2,10,"Gray"
"523",2,10,"Gray"
"524",2,30,"Gray"
"525",1,8,"Gray"
"526",1,6,"Gray"
"527",9,3,"Gray"
"528",3,28,"Gray"
"529",2,15,"Gray"
"530",4,100,"Unknown"
"531",5,30,"Gray"
"532",6,40,"Gray"
"533",7,20,"Gray"
"534",5,10,"Gray"
"535",1,35,"Gray"
"536",2,10,"Black"
"537",1,10,"Cinnamon"
"538",1,5,"Cinnamon"
"539",1,4,"Cinnamon"
"540",6,20,"Gray"
"541",1,30,"Gray"
"542",4,1,"Gray"
"543",6,35,"Cinnamon"
"544",2,4,"Cinnamon"
"545",3,20,"Unknown"
"546",2,8,"Gray"
"547",3,2,"Unknown"
